发布日期,综合价,差值
2017/12/29,614,
2018/1/5,618,4
2018/1/12,621,3
2018/1/19,622,1
2018/1/26,627,5
2018/2/2,631,4
2018/2/9,635,4
2018/3/2,627,-8
2018/3/9,616,-11
2018/3/16,607,-9
2018/3/23,603,-4
2018/3/30,598,-5
2018/4/13,577,-21
2018/4/20,571,-6
2018/4/27,572,1
2018/5/4,571,-1
2018/5/11,574,3
2018/5/18,581,7
2018/5/25,586,5
2018/6/1,591,5
2018/6/8,596,5
2018/6/15,600,4
2018/6/22,601,1
2018/6/29,603,2
2018/7/6,594,-9
2018/7/13,608,14
2018/7/20,602,-6
2018/7/27,599,-3
2018/8/3,586,-13
2018/8/10,577,-9
2018/8/17,579,2
2018/8/24,581,2
2018/8/31,582,1
2018/9/7,580,-2
2018/9/14,581,1
2018/9/21,584,3
2018/9/28,583,-1
2018/10/12,589,6
2018/10/19,596,7
2018/10/26,598,2
2018/11/2,595,-3
2018/11/9,589,-6
2018/11/16,593,4
2018/11/23,589,-4
2018/11/30,588,-1
2018/12/7,586,-2
2018/12/14,583,-3
2018/12/21,579,-4
